Date,Open,High,Low,Close,Adj Close,Volume,MktRF,SMB,HML,RF,RMW,CMA,SMB_5,yest_close,stock_return,log_return
2016-07-05,60.450001,60.599998,59.099998,59.549999,53.577831,23357700,-0.85,-0.63,-1.36,0.001,0.57,-0.68,-0.82,55.116329,-0.02791365150607177,-0.02831078974819956
2016-07-06,59.009997999999996,60.290001000000004,58.759997999999996,60.189999,54.153652,20429800,0.62,0.17,-0.13,0.001,-0.11,-0.15,0.17,53.577831,0.010747374226478068,0.010689929936925857
2016-07-07,60.52,61.139998999999996,60.16,60.580002,54.504532,13771400,0.02,0.35,-0.2,0.001,0.21,-0.29,0.34,54.153652,0.006479341411729656,0.006458629667663196
2016-07-08,61.330002,62.169998,61.330002,61.830002,55.629169,16998800,1.6,0.89,0.35,0.001,0.07,0.27,0.94,54.504532,0.020633825458771023,0.020423877303946902
2016-07-11,62.419998,62.950001,62.139998999999996,62.27,56.025047,13151400,0.43,0.6,0.25,0.001,0.3,-0.08,0.69,55.629169,0.007116374504893347,0.007091052967126643
2016-07-12,63.029999,63.560001,62.889998999999996,63.200001,56.861778,16588100,0.75,0.63,1.0,0.001,-0.63,0.64,0.73,56.025047,0.014934945079117922,0.014824548091236345
2016-07-13,63.080002,63.43,62.639998999999996,63.16,56.825793999999995,18526900,-0.05,-0.53,0.51,0.001,0.54,0.0,-0.46,56.861778,-0.0006328328319245704,-0.0006331275881557019
2016-07-14,64.739998,64.980003,64.050003,64.120003,57.689514,28985900,0.51,-0.46,0.45,0.001,-0.04,0.0,-0.42,56.825793999999995,0.015199435664726618,0.015085185141184176
2016-07-15,64.75,64.800003,63.610001000000004,64.18,57.7435,17607100,-0.05,0.3,0.01,0.001,-0.3,0.0,0.29,57.689514,0.0009358026486407003,0.0009352611530859534
2016-07-18,64.129997,64.400002,63.900002,63.959998999999996,57.54555500000001,10824400,0.25,-0.02,-0.12,0.001,0.09,-0.23,0.01,57.7435,-0.0034280048836663876,-0.003433763350729535
2016-07-19,63.610001000000004,64.099998,63.459998999999996,63.860001000000004,57.455589,9737400,-0.22,-0.63,0.05,0.001,0.47,-0.23,-0.62,57.54555500000001,-0.0015633874762352015,-0.001564669385090589
2016-07-20,64.110001,64.230003,63.709998999999996,63.93,57.518562,10411100,0.48,0.45,-0.87,0.001,-0.03,-0.35,0.39,57.455589,0.0010960291434833171,0.0010955318327443564
2016-07-21,64.0,64.18,63.630001,63.689999,57.302628000000006,9808700,-0.38,-0.05,-0.01,0.001,0.0,0.03,-0.08,57.518562,-0.0037541620042586803,-0.0037611860964128496
2016-07-22,63.900002,64.089996,63.599998,64.040001,57.617538,8195700,0.48,0.23,-0.08,0.001,0.41,-0.25,0.28,57.302628000000006,0.005495559470675543,0.005480355061531661
2016-07-25,63.98,64.16999799999999,63.68,63.869999,57.464592,8168300,-0.27,-0.03,-0.24,0.001,0.51,-0.39,-0.01,57.617538,-0.0026545042587553815,-0.0026581518270596405
2016-07-26,63.98,64.260002,63.709998999999996,64.129997,57.698498,8067800,0.13,0.58,0.54,0.001,-0.44,0.73,0.61,57.464592,0.0040704369744763436,0.004062474464097576
2016-07-27,64.08000200000001,64.690002,64.059998,64.33000200000001,57.878448,11806800,-0.14,0.58,-0.42,0.001,-0.12,-0.56,0.52,57.698498,0.003118798690392219,0.00311389013180996
2016-07-28,64.0,64.190002,63.720001,64.099998,57.671519999999994,10013400,0.18,-0.41,-0.34,0.001,-0.06,-0.14,-0.45,57.878448,-0.003575216806089978,-0.003581783787225845
2016-07-29,63.799999,64.290001,63.75,63.970001,57.554554,13210400,0.17,-0.02,0.04,0.001,0.0,0.32,-0.03,57.671519999999994,-0.0020281414465925436,-0.002030093631002039
2016-08-01,64.150002,64.309998,63.610001000000004,63.799999,57.401604000000006,11422600,-0.16,0.17,-0.87,0.001,0.69,-0.73,0.07,57.554554,-0.002657478676665569,-0.0026610644176114917
2016-08-02,63.59,64.010002,63.380001,63.650002,57.266647,13550000,-0.7,-0.58,0.17,0.001,-0.54,0.15,-0.63,57.401604000000006,-0.002351101547615413,-0.0023538182515094874
2016-08-03,63.689999,64.66999799999999,63.650002,64.660004,58.175354000000006,13122300,0.45,0.47,0.83,0.001,-0.71,0.15,0.57,57.266647,0.015867997300418286,0.01574347773407947
2016-08-04,64.489998,64.82,64.269997,64.559998,58.085377,9873000,0.05,0.09,-0.33,0.001,0.14,0.07,0.07,58.175354000000006,-0.0015466515253178283,-0.0015478411765741384
2016-08-05,65.139999,66.370003,65.07,66.300003,59.650887,20752700,0.93,0.43,0.87,0.001,-0.5,-0.36,0.56,58.085377,0.026951878094894625,0.026594949457925843
2016-08-08,66.07,66.489998,65.839996,66.099998,59.470932,11359200,-0.06,0.02,0.57,0.001,0.0,0.43,0.1,59.650887,-0.0030168034215484448,-0.003021225840230457
2016-08-09,66.18,66.279999,65.690002,65.870003,59.26400400000001,10097000,0.05,-0.02,-0.31,0.001,-0.13,-0.21,-0.05,59.470932,-0.0034794813708315634,-0.0034855684035992596
2016-08-10,65.91999799999999,66.07,65.160004,65.279999,58.733173,11556100,-0.29,-0.45,-0.13,0.001,0.71,0.01,-0.45,59.26400400000001,-0.008957055955922354,-0.008997452859630606
2016-08-11,65.269997,65.690002,65.019997,65.459999,58.895118999999994,9604500,0.54,0.15,0.04,0.001,-0.3,0.16,0.15,58.733173,0.0027573174022114087,0.002753558459305694
2016-08-12,64.970001,65.349998,64.860001,65.32,58.76915699999999,7685400,-0.06,0.08,-0.18,0.001,-0.19,-0.28,0.12,58.895118999999994,-0.002138751090731326,-0.0021409856942655736
2016-08-15,65.559998,65.83000200000001,65.459999,65.720001,59.129051000000004,8371600,0.39,0.73,0.39,0.001,-0.27,0.35,0.79,58.76915699999999,0.006123858472225683,0.006105040282871066
2016-08-16,65.360001,65.959999,65.239998,65.709999,59.120056000000005,10128900,-0.57,-0.26,0.61,0.001,-0.1,0.3,-0.19,59.129051000000004,-0.0001521248835872362,-0.00015220269374260909
2016-08-17,65.800003,65.980003,65.540001,65.889999,59.282001,11868100,0.12,-0.55,0.25,0.001,0.08,0.07,-0.49,59.120056000000005,0.002739256539269783,0.002735564057526396
2016-08-18,65.620003,65.989998,65.529999,65.949997,59.335983,9313600,0.32,0.46,0.37,0.001,-0.54,0.33,0.47,59.282001,0.0009105967931142836,0.0009101639253970006
2016-08-19,65.720001,65.910004,65.220001,65.860001,59.255001,9084900,-0.11,0.12,-0.12,0.001,0.29,-0.15,0.1,59.335983,-0.0013648042200632082,-0.001365541542375226
2016-08-22,65.75,65.879997,65.410004,65.800003,59.20103100000001,9055600,-0.02,0.25,-0.41,0.001,0.02,-0.36,0.22,59.255001,-0.0009108091990411497,-0.0009114082079646479
2016-08-23,66.07,66.339996,65.760002,65.769997,59.174038,8949600,0.27,0.56,-0.01,0.001,0.03,0.06,0.55,59.20103100000001,-0.0004559548971369178,-0.00045612222421897997
2016-08-24,65.989998,66.230003,65.769997,65.949997,59.335983,10167200,-0.56,-0.48,0.4,0.001,0.38,-0.07,-0.44,59.174038,0.0027367576300943966,0.002733071974558854
2016-08-25,65.910004,66.139999,65.790001,66.07,59.443946999999994,9978700,-0.08,0.2,0.48,0.001,-0.18,0.29,0.22,59.335983,0.0018195367219246289,0.0018179523674781706
2016-08-26,66.33000200000001,66.879997,65.849998,66.220001,59.578911,14038600,-0.15,0.15,-0.13,0.001,-0.36,-0.19,0.12,59.443946999999994,0.002270441429469743,0.002267761178483596
2016-08-29,66.489998,67.099998,66.459999,66.949997,60.235703,14583100,0.53,-0.07,0.35,0.001,-0.1,0.21,0.01,59.578911,0.011023900722186798,0.010963480107343493
2016-08-30,66.949997,67.599998,66.949997,67.5,60.730537,13791200,-0.14,0.1,0.31,0.001,-0.05,-0.3,0.21,60.235703,0.008214961814258187,0.008181570550862993
2016-08-31,67.459999,67.769997,66.860001,67.5,60.730537,14952300,-0.24,-0.38,0.13,0.001,0.27,-0.35,-0.34,60.730537,0.0,0.0
2016-09-01,67.639999,67.720001,66.650002,67.209999,60.469623999999996,12226500,0.03,0.12,-0.49,0.001,0.15,-0.13,0.06,60.730537,-0.004296240621089884,-0.004305566775347991
2016-09-02,67.400002,67.58000200000001,66.980003,67.489998,60.721554000000005,13720700,0.53,0.39,0.36,0.001,-0.16,0.19,0.42,60.469623999999996,0.004166224020179267,0.0041573780181582976
2016-09-06,67.5,67.550003,66.709999,67.440002,60.676552,16649400,0.26,0.06,-0.53,0.001,-0.71,-0.03,0.0,60.721554000000005,-0.0007411206900271979,-0.0007410657717041857
2016-09-07,67.160004,67.589996,66.959999,67.160004,60.424641,10070400,0.09,0.62,0.03,0.001,-0.1,-0.24,0.6,60.676552,-0.0041517026214673465,-0.004160451580990987
2016-09-08,67.220001,67.68,67.0,67.25,60.505607999999995,12253000,-0.18,-0.02,0.57,0.001,-0.9,0.41,0.03,60.424641,0.0013399665874720549,0.0013391267133489038
2016-09-09,67.029999,67.43,66.639999,66.650002,59.965790000000005,19686900,-2.47,-0.56,0.31,0.001,0.08,-0.43,-0.55,60.505607999999995,-0.00892178457243153,-0.008961941849729094
2016-09-12,66.139999,67.300003,65.760002,67.059998,60.334675,16453000,1.44,-0.01,-0.47,0.001,-0.07,-0.19,-0.04,59.965790000000005,0.006151590765334562,0.006132634581824448
2016-09-13,66.110001,66.860001,65.82,66.529999,59.85781899999999,18876100,-1.48,-0.25,-0.47,0.001,0.63,-0.76,-0.32,60.334675,-0.00790351485277753,-0.007934752491061126
2016-09-14,66.269997,67.25,66.209999,66.400002,59.740849,12648600,-0.08,0.11,-0.83,0.001,0.14,-0.5,0.05,59.85781899999999,-0.0019541306708818597,-0.0019558721201127227
2016-09-15,66.290001,66.93,66.089996,66.639999,59.956782999999994,12531300,1.07,0.31,-0.33,0.001,0.08,-0.22,0.3,59.740849,0.0036145117388605777,0.0036078962497150258
2016-09-16,66.089996,66.260002,65.440002,65.82,59.219025,25161500,-0.36,0.33,-0.45,0.001,0.17,-0.21,0.29,59.956782999999994,-0.012304829630368802,-0.012381239337391214
2016-09-19,66.150002,66.639999,65.849998,66.190002,59.55190699999999,13466900,0.05,0.39,0.17,0.001,-0.04,0.35,0.49,59.219025,0.005621200281497218,0.005605680831681781
